image_id_roi_id, pixel_size, x, y, score
1079_CD3_ROI_1, 0.24309392273426056, 324.0, 210.0, 1
1079_CD3_ROI_1, 0.24309392273426056, 322.90625, 239.0, 1
1079_CD3_ROI_1, 0.24309392273426056, 366.0, 272.0, 1
1079_CD3_ROI_1, 0.24309392273426056, 373.5, 295.0, 1
1079_CD3_ROI_1, 0.24309392273426056, 322.1015625, 264.0, 1
1079_CD3_ROI_1, 0.24309392273426056, 327.703125, 286.0, 1
1079_CD3_ROI_1, 0.24309392273426056, 198.6015625, 223.0, 1
1079_CD3_ROI_1, 0.24309392273426056, 167.90625, 213.0, 1
1079_CD3_ROI_1, 0.24309392273426056, 170.40625, 195.0, 1
1079_CD3_ROI_1, 0.24309392273426056, 143.90625, 73.0, 1
1079_CD3_ROI_1, 0.24309392273426056, 278.6015625, 92.0, 1
1079_CD3_ROI_1, 0.24309392273426056, 307.5, 105.0, 1
1079_CD3_ROI_1, 0.24309392273426056, 220.40625, 79.0, 1
1079_CD3_ROI_1, 0.24309392273426056, 367.703125, 53.0, 1
1079_CD3_ROI_1, 0.24309392273426056, 260.703125, 201.0, 1
1079_CD3_ROI_1, 0.24309392273426056, 261.5, 221.0, 1
1079_CD3_ROI_1, 0.24309392273426056, 211.90625, 291.0, 1
1079_CD3_ROI_1, 0.24309392273426056, 215.3046875, 268.0, 1
1079_CD3_ROI_1, 0.24309392273426056, 242.1015625, 281.0, 1
1079_CD3_ROI_1, 0.24309392273426056, 242.1015625, 310.0, 1
1079_CD3_ROI_1, 0.24309392273426056, 262.203125, 377.0, 1
1079_CD3_ROI_1, 0.24309392273426056, 280.40625, 391.0, 1
1079_CD3_ROI_1, 0.24309392273426056, 408.703125, 484.0, 1
1079_CD3_ROI_1, 0.24309392273426056, 451.5, 520.0, 1
1079_CD3_ROI_1, 0.24309392273426056, 455.703125, 562.0, 1
1079_CD3_ROI_1, 0.24309392273426056, 320.5, 512.0, 1
1079_CD3_ROI_1, 0.24309392273426056, 311.1015625, 573.0, 1
1079_CD3_ROI_1, 0.24309392273426056, 197.1015625, 550.0, 1
1079_CD3_ROI_1, 0.24309392273426056, 327.1015625, 468.0, 1
1079_CD3_ROI_1, 0.24309392273426056, 252.0, 489.0, 1
1079_CD3_ROI_1, 0.24309392273426056, 244.8046875, 446.0, 1
1079_CD3_ROI_1, 0.24309392273426056, 215.8046875, 432.0, 1
1079_CD3_ROI_1, 0.24309392273426056, 184.1015625, 383.0, 1
1079_CD3_ROI_1, 0.24309392273426056, 354.3046875, 362.0, 1
1079_CD3_ROI_1, 0.24309392273426056, 383.703125, 320.0, 1
1079_CD3_ROI_1, 0.24309392273426056, 405.40625, 333.0, 1
1079_CD3_ROI_1, 0.24309392273426056, 409.5, 354.0, 1
1079_CD3_ROI_1, 0.24309392273426056, 459.703125, 258.0, 1
1079_CD3_ROI_1, 0.24309392273426056, 386.0, 224.0, 1
1079_CD3_ROI_1, 0.24309392273426056, 490.203125, 354.0, 1
1079_CD3_ROI_1, 0.24309392273426056, 210.953125, 45.421875, 1
1079_CD3_ROI_1, 0.24309392273426056, 263.578125, 52.765625, 1
1079_CD3_ROI_1, 0.24309392273426056, 172.984375, 71.40625, 1
1079_CD3_ROI_1, 0.24309392273426056, 216.953125, 156.015625, 1
1079_CD3_ROI_1, 0.24309392273426056, 218.9453125, 212.65625, 1
1079_CD3_ROI_1, 0.24309392273426056, 273.578125, 278.59375, 1
1079_CD3_ROI_1, 0.24309392273426056, 251.5859375, 259.953125, 1
1079_CD3_ROI_1, 0.24309392273426056, 188.3046875, 315.90625, 1
1079_CD3_ROI_1, 0.24309392273426056, 184.3046875, 269.9375, 1
1079_CD3_ROI_1, 0.24309392273426056, 170.3125, 232.625, 1
1079_CD3_ROI_1, 0.24309392273426056, 197.6328125, 114.046875, 1
1079_CD3_ROI_1, 0.24309392273426056, 266.9140625, 120.703125, 1
1079_CD3_ROI_1, 0.24309392273426056, 308.890625, 144.6875, 1
1079_CD3_ROI_1, 0.24309392273426056, 319.5390625, 172.0, 1
1079_CD3_ROI_1, 0.24309392273426056, 379.5, 192.65625, 1
1079_CD3_ROI_1, 0.24309392273426056, 430.796875, 454.46875, 1
1079_CD3_ROI_1, 0.24309392273426056, 492.75, 520.4375, 1
1079_CD3_ROI_1, 0.24309392273426056, 517.3984375, 563.0625, 1
1079_CD3_ROI_1, 0.24309392273426056, 614.0, 483.78125, 1
1079_CD3_ROI_1, 0.24309392273426056, 288.8984375, 493.109375, 1
1079_CD3_ROI_1, 0.24309392273426056, 284.90625, 446.484375, 1
1079_CD3_ROI_1, 0.24309392273426056, 300.890625, 369.859375, 1
1079_CD3_ROI_1, 0.24309392273426056, 298.890625, 416.5, 1
1079_CD3_ROI_1, 0.24309392273426056, 184.9765625, 344.546875, 1
1079_CD3_ROI_1, 0.24309392273426056, 36.40625, 567.046875, 1
1079_CD3_ROI_1, 0.24309392273426056, 9.765625, 505.09375, 1
1079_CD3_ROI_1, 0.24309392273426056, 11.09375, 486.453125, 1
